#method z1 z2 distance energy
CCSD 6.6 7.4 6.8 -109.30325350731
HF 6.6 7.4 7.0 -102.24590988018
MP2 6.6 7.4 7.0 -102.83697735309
HF 6.6 7.4 7.6 -101.78192295176
MP2 6.6 7.4 7.6 -979.3368270874
HF 6.6 7.4 7.8 -101.81975111218
MP2 6.6 7.4 7.8 -933.2524922490
HF 6.6 7.4 8.0 -101.72474104009
MP2 6.6 7.4 8.0 -318.00468340476
HF 6.6 7.4 8.2 -108.67642937231
MP2 6.6 7.4 8.2 -111.24755560446
HF 6.6 7.4 8.6 -102.17967817489
MP2 6.6 7.4 8.6 -992.2973505164
HF 6.6 7.4 9.0 -108.95256243413
MP2 6.6 7.4 9.0 -109.23368371480
CCSD 6.6 7.4 9.0 -109.29687964270
HF 6.6 7.4 9.4 -102.01527266913
MP2 6.6 7.4 9.4 -104.12683518679
HF 6.6 7.4 10.0 -102.34461881028
MP2 6.6 7.4 10.0 -104.51809534811
HF 6.5 7.5 0.6 -107.27253404290
MP2 6.5 7.5 0.6 -107.60214353656
CCSD 6.5 7.5 0.6 -107.61198935866
HF 6.5 7.5 0.8 -109.44902997094
MP2 6.5 7.5 0.8 -109.79269960022
CCSD 6.5 7.5 0.8 -109.80082987603
HF 6.5 7.5 1.0 -109.91946959580
MP2 6.5 7.5 1.0 -110.29335118225
CCSD 6.5 7.5 1.0 -110.29491395865
HF 6.5 7.5 1.2 -109.90099285687
MP2 6.5 7.5 1.2 -110.32149507158
CCSD 6.5 7.5 1.2 -110.30805993794
HF 6.5 7.5 1.4 -109.75901698521
MP2 6.5 7.5 1.4 -110.24388075745
CCSD 6.5 7.5 1.4 -110.20299466191
HF 6.5 7.5 1.6 -109.60588419059
MP2 6.5 7.5 1.6 -110.16273596497
CCSD 6.5 7.5 1.6 -110.08762289010
HF 6.5 7.5 1.8 -109.48229472964
MP2 6.5 7.5 1.8 -109.98976039068
CCSD 6.5 7.5 1.8 -109.99285345779
HF 6.5 7.5 2.6 -109.37299647604
MP2 6.5 7.5 2.6 -109.66235950570
CCSD 6.5 7.5 2.6 -109.71474808160
HF 6.5 7.5 2.8 -109.36825927343
MP2 6.5 7.5 2.8 -109.65330937670
CCSD 6.5 7.5 2.8 -109.71229804836
HF 6.5 7.5 3.0 -109.36491670879
MP2 6.5 7.5 3.0 -109.64769369976
CCSD 6.5 7.5 3.0 -109.70958862287
HF 6.5 7.5 3.8 -109.35713518887
MP2 6.5 7.5 3.8 -109.63732563511
CCSD 6.5 7.5 3.8 -109.70113645509
HF 6.5 7.5 4.0 -108.91253290323
MP2 6.5 7.5 4.0 -111.62081731500
HF 6.5 7.5 4.2 -109.36143252741
MP2 6.5 7.5 4.2 -109.64183908178
CCSD 6.5 7.5 4.2 -109.70457823956
HF 6.5 7.5 4.6 -102.70606910663
MP2 6.5 7.5 4.6 -106.54321582489
HF 6.5 7.5 4.8 -109.35155202972
MP2 6.5 7.5 4.8 -109.63137442885
CCSD 6.5 7.5 4.8 -109.69508362517
HF 6.5 7.5 5.0 -109.35067937620
MP2 6.5 7.5 5.0 -109.63048177080
CCSD 6.5 7.5 5.0 -109.69416154713
HF 6.5 7.5 5.2 -106.43119103711
MP2 6.5 7.5 5.2 -107.93665781647
HF 6.5 7.5 5.4 -109.34909982187
MP2 6.5 7.5 5.4 -109.62887636726
CCSD 6.5 7.5 5.4 -109.69250298682
HF 6.5 7.5 5.6 -102.58246194463
MP2 6.5 7.5 5.6 -104.39134276181
HF 6.5 7.5 6.0 -109.02739248840
MP2 6.5 7.5 6.0 -111.09440936326
HF 6.5 7.5 6.2 -102.99943023063
MP2 6.5 7.5 6.2 -316.4416287297
HF 6.5 7.5 6.4 -103.08033289232
MP2 6.5 7.5 6.4 -104.73000455228
HF 6.5 7.5 6.6 -109.34536220425
MP2 6.5 7.5 6.6 -109.62510769616
CCSD 6.5 7.5 6.6 -109.68862184778
HF 6.5 7.5 6.8 -109.01826046560
MP2 6.5 7.5 6.8 -111.37431753747
HF 6.5 7.5 7.0 -108.80984506413
MP2 6.5 7.5 7.0 -114.62479915189
HF 6.5 7.5 7.2 -104.35608470111
MP2 6.5 7.5 7.2 -103.60619466522
HF 6.5 7.5 7.6 -109.01092679349
MP2 6.5 7.5 7.6 -111.65917771211
HF 6.5 7.5 8.0 -103.11638375805
MP2 6.5 7.5 8.0 -103.21673174722
HF 6.5 7.5 8.2 -109.34190678452
MP2 6.5 7.5 8.2 -109.62164225649
CCSD 6.5 7.5 8.2 -109.68507828015
HF 6.5 7.5 8.4 -102.82239525874
MP2 6.5 7.5 8.4 -103.91550618156
