#method z1 z2 distance energy
CCSD 4.8 9.2 7.6 -127.19723030750
HF 4.8 9.2 7.8 -126.84569321737
MP2 4.8 9.2 7.8 -127.17746604472
CCSD 4.8 9.2 7.8 -127.19606731621
HF 4.8 9.2 8.0 -126.84459089227
MP2 4.8 9.2 8.0 -127.17636190891
CCSD 4.8 9.2 8.0 -127.19496467789
HF 4.8 9.2 8.2 -126.84354402043
MP2 4.8 9.2 8.2 -127.17531350200
CCSD 4.8 9.2 8.2 -127.19391758335
HF 4.8 9.2 8.4 -126.84254834324
MP2 4.8 9.2 8.4 -127.17431651482
CCSD 4.8 9.2 8.4 -127.19292175088
HF 4.8 9.2 8.6 -126.84160005445
MP2 4.8 9.2 8.6 -127.17336710068
CCSD 4.8 9.2 8.6 -127.19197335662
HF 4.8 9.2 8.8 -126.84069574050
MP2 4.8 9.2 8.8 -127.17246181373
CCSD 4.8 9.2 8.8 -127.19106897375
HF 4.8 9.2 9.0 -126.83983232890
MP2 4.8 9.2 9.0 -127.17159755566
CCSD 4.8 9.2 9.0 -127.19020551981
HF 4.8 9.2 9.2 -126.83900704376
MP2 4.8 9.2 9.2 -127.17077152995
CCSD 4.8 9.2 9.2 -127.18938021157
HF 4.8 9.2 9.4 -126.83821736798
MP2 4.8 9.2 9.4 -127.16998120289
CCSD 4.8 9.2 9.4 -127.18859052650
HF 4.8 9.2 9.6 -126.83746101112
MP2 4.8 9.2 9.6 -127.16922427061
CCSD 4.8 9.2 9.6 -127.18783417019
HF 4.8 9.2 9.8 -126.83673588222
MP2 4.8 9.2 9.8 -127.16849863121
CCSD 4.8 9.2 9.8 -127.18710904880
HF 4.8 9.2 10.0 -126.83604006683
MP2 4.8 9.2 10.0 -127.16780236125
CCSD 4.8 9.2 10.0 -127.18641324579
HF 4.7 9.3 1.0 -128.64516080694
MP2 4.7 9.3 1.0 -128.96707071714
CCSD 4.7 9.3 1.0 -128.97940203716
HF 4.7 9.3 1.2 -128.77202600734
MP2 4.7 9.3 1.2 -129.09934409863
CCSD 4.7 9.3 1.2 -129.11255855945
HF 4.7 9.3 1.4 -128.77604594968
MP2 4.7 9.3 1.4 -129.10806036324
CCSD 4.7 9.3 1.4 -129.12183808317
HF 4.7 9.3 1.6 -128.75058232417
MP2 4.7 9.3 1.6 -129.08603966912
CCSD 4.7 9.3 1.6 -129.10000444432
HF 4.7 9.3 1.8 -128.72212231831
MP2 4.7 9.3 1.8 -129.05900919980
CCSD 4.7 9.3 1.8 -129.07316615813
HF 4.7 9.3 2.0 -128.69826273749
MP2 4.7 9.3 2.0 -129.03468269113
CCSD 4.7 9.3 2.0 -129.04937905004
HF 4.7 9.3 2.2 -128.67941368124
MP2 4.7 9.3 2.2 -129.01428174921
CCSD 4.7 9.3 2.2 -129.02981734672
HF 4.7 9.3 2.4 -128.66474852019
MP2 4.7 9.3 2.4 -128.99780557639
CCSD 4.7 9.3 2.4 -129.01423726069
HF 4.7 9.3 2.6 -128.65289787814
MP2 4.7 9.3 2.6 -128.98433617889
CCSD 4.7 9.3 2.6 -129.00154517566
HF 4.7 9.3 2.8 -128.64286080172
MP2 4.7 9.3 2.8 -128.97301450084
CCSD 4.7 9.3 2.8 -128.99082317127
HF 4.7 9.3 3.0 -128.63426645667
MP2 4.7 9.3 3.0 -128.96346553162
CCSD 4.7 9.3 3.0 -128.98170663028
HF 4.7 9.3 3.2 -128.62697221400
MP2 4.7 9.3 3.2 -128.95548981019
CCSD 4.7 9.3 3.2 -128.97403131022
HF 4.7 9.3 3.4 -128.62081700241
MP2 4.7 9.3 3.4 -128.94885933702
CCSD 4.7 9.3 3.4 -128.96760595653
HF 4.7 9.3 3.6 -128.61559963385
MP2 4.7 9.3 3.6 -128.94331439998
CCSD 4.7 9.3 3.6 -128.96220062050
HF 4.7 9.3 3.8 -128.61111932310
MP2 4.7 9.3 3.8 -128.93860925969
CCSD 4.7 9.3 3.8 -128.95759117493
HF 4.7 9.3 4.0 -128.60720635514
MP2 4.7 9.3 4.0 -128.93454174750
CCSD 4.7 9.3 4.0 -128.95359031128
HF 4.7 9.3 4.2 -128.60373261073
MP2 4.7 9.3 4.2 -128.93096100919
CCSD 4.7 9.3 4.2 -128.95005707671
HF 4.7 9.3 4.4 -128.60060814721
MP2 4.7 9.3 4.4 -128.92776148232
CCSD 4.7 9.3 4.4 -128.94689235638
HF 4.7 9.3 4.6 -128.59777179395
MP2 4.7 9.3 4.6 -128.92487147726
CCSD 4.7 9.3 4.6 -128.94402858411
HF 4.7 9.3 4.8 -128.59518145590
MP2 4.7 9.3 4.8 -128.92224195729
CCSD 4.7 9.3 4.8 -128.94141934030
HF 4.7 9.3 5.0 -128.59280668330
MP2 4.7 9.3 5.0 -128.91983794916
CCSD 4.7 9.3 5.0 -128.93903133041
HF 4.7 9.3 5.2 -128.59062383739
MP2 4.7 9.3 5.2 -128.91763286099
CCSD 4.7 9.3 5.2 -128.93683907080
HF 4.7 9.3 5.4 -128.58861326563
MP2 4.7 9.3 5.4 -128.91560508241
CCSD 4.7 9.3 5.4 -128.93482171069
HF 4.7 9.3 5.6 -128.58675779219
MP2 4.7 9.3 5.6 -128.91373611019
CCSD 4.7 9.3 5.6 -128.93296128621
HF 4.7 9.3 5.8 -128.58504198951
MP2 4.7 9.3 5.8 -128.91200959568
CCSD 4.7 9.3 5.8 -128.93124184276
HF 4.7 9.3 6.0 -128.58345187131
MP2 4.7 9.3 6.0 -128.91041089913
CCSD 4.7 9.3 6.0 -128.92964903529
HF 4.7 9.3 6.2 -128.58197477898
MP2 4.7 9.3 6.2 -128.90892688835
CCSD 4.7 9.3 6.2 -128.92816995642
HF 4.7 9.3 6.4 -128.58059932871
MP2 4.7 9.3 6.4 -128.90754582915
CCSD 4.7 9.3 6.4 -128.92679304657
HF 4.7 9.3 6.6 -128.57931535520
MP2 4.7 9.3 6.6 -128.90625729177
CCSD 4.7 9.3 6.6 -128.92550801387
HF 4.7 9.3 6.8 -128.57811383264
MP2 4.7 9.3 6.8 -128.90505204688
CCSD 4.7 9.3 6.8 -128.92430573948
HF 4.7 9.3 7.0 -128.57698677641
MP2 4.7 9.3 7.0 -128.90392195027
CCSD 4.7 9.3 7.0 -128.92317816892
HF 4.7 9.3 7.2 -128.57592713676
MP2 4.7 9.3 7.2 -128.90285982480
CCSD 4.7 9.3 7.2 -128.92211819869
HF 4.7 9.3 7.4 -128.57492869406
MP2 4.7 9.3 7.4 -128.90185934769
CCSD 4.7 9.3 7.4 -128.92111956688
HF 4.7 9.3 7.6 -128.57398596125
MP2 4.7 9.3 7.6 -128.90091494748
CCSD 4.7 9.3 7.6 -128.92017675259
HF 4.7 9.3 7.8 -128.57309409532
MP2 4.7 9.3 7.8 -128.90002171175
CCSD 4.7 9.3 7.8 -128.91928488545
HF 4.7 9.3 8.0 -128.57224881770
MP2 4.7 9.3 8.0 -128.89917530484
CCSD 4.7 9.3 8.0 -128.91843966475
HF 4.7 9.3 8.2 -128.57144634260
MP2 4.7 9.3 8.2 -128.89837189425
CCSD 4.7 9.3 8.2 -128.91763728697
HF 4.7 9.3 8.4 -128.57068331273
MP2 4.7 9.3 8.4 -128.89760808471
CCSD 4.7 9.3 8.4 -128.91687438085
HF 4.7 9.3 8.6 -128.56995674191
MP2 4.7 9.3 8.6 -128.89688085948
CCSD 4.7 9.3 8.6 -128.91614794947
HF 4.7 9.3 8.8 -128.56926396440
MP2 4.7 9.3 8.8 -128.89618752844
CCSD 4.7 9.3 8.8 -128.91545531904
HF 4.7 9.3 9.0 -128.56860259078
MP2 4.7 9.3 9.0 -128.89552568283
CCSD 4.7 9.3 9.0 -128.91479409435
HF 4.7 9.3 9.2 -128.56797047001
MP2 4.7 9.3 9.2 -128.89489315646
CCSD 4.7 9.3 9.2 -128.91416212036
HF 4.7 9.3 9.4 -128.56736565729
MP2 4.7 9.3 9.4 -128.89428799263
CCSD 4.7 9.3 9.4 -128.91355744964
HF 4.7 9.3 9.6 -128.56678638708
MP2 4.7 9.3 9.6 -128.89370841641
CCSD 4.7 9.3 9.6 -128.91297831504
HF 4.7 9.3 9.8 -128.56623105043
MP2 4.7 9.3 9.8 -128.89315281149
CCSD 4.7 9.3 9.8 -128.91242310676
HF 4.7 9.3 10.0 -128.56569817616
MP2 4.7 9.3 10.0 -128.89261970079
CCSD 4.7 9.3 10.0 -128.91189035323
HF 4.6 9.4 1.0 -130.36777127505
MP2 4.6 9.4 1.0 -130.68663193704
CCSD 4.6 9.4 1.0 -130.69944773530
HF 4.6 9.4 1.2 -130.50137321905
MP2 4.6 9.4 1.2 -130.82494403006
CCSD 4.6 9.4 1.2 -130.83883324887
HF 4.6 9.4 1.4 -130.51304758540
MP2 4.6 9.4 1.4 -130.84064937211
CCSD 4.6 9.4 1.4 -130.85525261517
HF 4.6 9.4 1.6 -130.49495274866
MP2 4.6 9.4 1.6 -130.82533329151
CCSD 4.6 9.4 1.6 -130.84027293018
HF 4.6 9.4 1.8 -130.47312748762
MP2 4.6 9.4 1.8 -130.80435044979
CCSD 4.6 9.4 1.8 -130.81963044022
HF 4.6 9.4 2.0 -130.45515964498
MP2 4.6 9.4 2.0 -130.78556222750
CCSD 4.6 9.4 2.0 -130.80146841474
HF 4.6 9.4 2.2 -130.44134506378
MP2 4.6 9.4 2.2 -130.77013286830
CCSD 4.6 9.4 2.2 -130.78686091387
HF 4.6 9.4 2.4 -130.43087644318
MP2 4.6 9.4 2.4 -130.75800266623
CCSD 4.6 9.4 2.4 -130.77552681384
HF 4.6 9.4 2.6 -130.42243391039
MP2 4.6 9.4 2.6 -130.74818362051
CCSD 4.6 9.4 2.6 -130.76635301154
HF 4.6 9.4 2.8 -130.41511820245
MP2 4.6 9.4 2.8 -130.73983084164
CCSD 4.6 9.4 2.8 -130.75847454167
HF 4.6 9.4 3.0 -130.40871281447
MP2 4.6 9.4 3.0 -130.73268200903
CCSD 4.6 9.4 3.0 -130.75165663861
HF 4.6 9.4 3.2 -130.40322132852
MP2 4.6 9.4 3.2 -130.72667331369
CCSD 4.6 9.4 3.2 -130.74587311392
HF 4.6 9.4 3.4 -130.39858940629
MP2 4.6 9.4 3.4 -130.72168755467
CCSD 4.6 9.4 3.4 -130.74103945380
HF 4.6 9.4 3.6 -130.39468545929
MP2 4.6 9.4 3.6 -130.71754328377
CCSD 4.6 9.4 3.6 -130.73699843715
HF 4.6 9.4 3.8 -130.39135313384
MP2 4.6 9.4 3.8 -130.71404788109
CCSD 4.6 9.4 3.8 -130.73357413016
HF 4.6 9.4 4.0 -130.38845252133
MP2 4.6 9.4 4.0 -130.71103614890
CCSD 4.6 9.4 4.0 -130.73061242071
HF 4.6 9.4 4.2 -130.38587745869
MP2 4.6 9.4 4.2 -130.70838461459
CCSD 4.6 9.4 4.2 -130.72799704854
HF 4.6 9.4 4.4 -130.38355560123
MP2 4.6 9.4 4.4 -130.70600923503
CCSD 4.6 9.4 4.4 -130.72564859122
HF 4.6 9.4 4.6 -130.38144047411
MP2 4.6 9.4 4.6 -130.70385576584
CCSD 4.6 9.4 4.6 -130.72351573454
HF 4.6 9.4 4.8 -130.37950232408
MP2 4.6 9.4 4.8 -130.70188940564
CCSD 4.6 9.4 4.8 -130.72156553688
HF 4.6 9.4 5.0 -130.37772097968
MP2 4.6 9.4 5.0 -130.70008675839
CCSD 4.6 9.4 5.0 -130.71977580340
HF 4.6 9.4 5.2 -130.37608128178
MP2 4.6 9.4 5.2 -130.69843060893
CCSD 4.6 9.4 5.2 -130.71813012021
HF 4.6 9.4 5.4 -130.37457052690
MP2 4.6 9.4 5.4 -130.69690692177
CCSD 4.6 9.4 5.4 -130.71661500693
HF 4.6 9.4 5.6 -130.37317721284
MP2 4.6 9.4 5.6 -130.69550330704
CCSD 4.6 9.4 5.6 -130.71521847230
HF 4.6 9.4 5.8 -130.37189054307
MP2 4.6 9.4 5.8 -130.69420835651
CCSD 4.6 9.4 5.8 -130.71392940337
HF 4.6 9.4 6.0 -130.37070032644
MP2 4.6 9.4 6.0 -130.69301144293
CCSD 4.6 9.4 6.0 -130.71273739770
HF 4.6 9.4 6.2 -130.36959704087
MP2 4.6 9.4 6.2 -130.69190272295
CCSD 4.6 9.4 6.2 -130.71163278727
HF 4.6 9.4 6.4 -130.36857192584
MP2 4.6 9.4 6.4 -130.69087319228
CCSD 4.6 9.4 6.4 -130.71060670727
HF 4.6 9.4 6.6 -130.36761704001
MP2 4.6 9.4 6.6 -130.68991471995
CCSD 4.6 9.4 6.6 -130.70965113951
HF 4.6 9.4 6.8 -130.36672526838
MP2 4.6 9.4 6.8 -130.68902004026
CCSD 4.6 9.4 6.8 -130.70875891051
HF 4.6 9.4 7.0 -130.36589028805
MP2 4.6 9.4 7.0 -130.68818270833
CCSD 4.6 9.4 7.0 -130.70792365152
HF 4.6 9.4 7.2 -130.36510650945
MP2 4.6 9.4 7.2 -130.68739703431
CCSD 4.6 9.4 7.2 -130.70713973586
HF 4.6 9.4 7.4 -130.36436900735
MP2 4.6 9.4 7.4 -130.68665800953
CCSD 4.6 9.4 7.4 -130.70640220744
HF 4.6 9.4 7.6 -130.36367345057
MP2 4.6 9.4 7.6 -130.68596123291
CCSD 4.6 9.4 7.6 -130.70570670903
HF 4.6 9.4 7.8 -130.36301603469
MP2 4.6 9.4 7.8 -130.68530284144
CCSD 4.6 9.4 7.8 -130.70504941409
HF 4.6 9.4 8.0 -130.36239341902
MP2 4.6 9.4 8.0 -130.68467944559
CCSD 4.6 9.4 8.0 -130.70442696333
HF 4.6 9.4 8.2 -130.36180266827
MP2 4.6 9.4 8.2 -130.68408806972
CCSD 4.6 9.4 8.2 -130.70383640613
HF 4.6 9.4 8.4 -130.36124119881
MP2 4.6 9.4 8.4 -130.68352609732
CCSD 4.6 9.4 8.4 -130.70327514654
HF 4.6 9.4 8.6 -130.36070672987
MP2 4.6 9.4 8.6 -130.68299122121
CCSD 4.6 9.4 8.6 -130.70274089428
HF 4.6 9.4 8.8 -130.36019724010
MP2 4.6 9.4 8.8 -130.68248139915
CCSD 4.6 9.4 8.8 -130.70223162093
HF 4.6 9.4 9.0 -130.35971092948
MP2 4.6 9.4 9.0 -130.68199481482
CCSD 4.6 9.4 9.0 -130.70174552148
HF 4.6 9.4 9.2 -130.35924618672
MP2 4.6 9.4 9.2 -130.68152984435
CCSD 4.6 9.4 9.2 -130.70128098135
HF 4.6 9.4 9.4 -130.35880156184
MP2 4.6 9.4 9.4 -130.68108502812
CCSD 4.6 9.4 9.4 -130.70083654855
HF 4.6 9.4 9.6 -130.35837574333
MP2 4.6 9.4 9.6 -130.68065904729
CCSD 4.6 9.4 9.6 -130.70041091058
HF 4.6 9.4 9.8 -130.35796753940
MP2 4.6 9.4 9.8 -130.68025070447
CCSD 4.6 9.4 9.8 -130.70000287531
HF 4.6 9.4 10.0 -130.35757586251
MP2 4.6 9.4 10.0 -130.67985890786
CCSD 4.6 9.4 10.0 -130.69961135538
HF 4.5 9.5 1.0 -132.15978208664
MP2 4.5 9.5 1.0 -132.47559672539
CCSD 4.5 9.5 1.0 -132.48887070263
HF 4.5 9.5 1.2 -132.29950505101
MP2 4.5 9.5 1.2 -132.61941718633
CCSD 4.5 9.5 1.2 -132.63392015970
HF 4.5 9.5 1.4 -132.31835932517
MP2 4.5 9.5 1.4 -132.64171600454
CCSD 4.5 9.5 1.4 -132.65705148625
HF 4.5 9.5 1.6 -132.30721574030
MP2 4.5 9.5 1.6 -132.63279039911
CCSD 4.5 9.5 1.6 -132.64857358559
HF 4.5 9.5 1.8 -132.29157450624
MP2 4.5 9.5 1.8 -132.61755801069
CCSD 4.5 9.5 1.8 -132.63377044415
HF 4.5 9.5 2.0 -132.27900045298
MP2 4.5 9.5 2.0 -132.60397383427
CCSD 4.5 9.5 2.0 -132.62082956259
HF 4.5 9.5 2.2 -132.26969409413
MP2 4.5 9.5 2.2 -132.59309239925
CCSD 4.5 9.5 2.2 -132.61070476761
HF 4.5 9.5 2.4 -132.26290787441
MP2 4.5 9.5 2.4 -132.58480651410
CCSD 4.5 9.5 2.4 -132.60310528518
HF 4.5 9.5 2.6 -132.25740126096
MP2 4.5 9.5 2.6 -132.57810919730
CCSD 4.5 9.5 2.6 -132.59694066024
HF 4.5 9.5 2.8 -132.25239041726
MP2 4.5 9.5 2.8 -132.57222051891
CCSD 4.5 9.5 2.8 -132.59143259713
HF 4.5 9.5 3.0 -132.24781636527
MP2 4.5 9.5 3.0 -132.56702258046
CCSD 4.5 9.5 3.0 -132.58649556737
HF 4.5 9.5 3.2 -132.24382500837
MP2 4.5 9.5 3.2 -132.56259815389
CCSD 4.5 9.5 3.2 -132.58224690341
HF 4.5 9.5 3.4 -132.24046100940
MP2 4.5 9.5 3.4 -132.55893783102
CCSD 4.5 9.5 3.4 -132.57870482684
HF 4.5 9.5 3.6 -132.23765375941
MP2 4.5 9.5 3.6 -132.55592917694
CCSD 4.5 9.5 3.6 -132.57577653339
HF 4.5 9.5 3.8 -132.23528353195
MP2 4.5 9.5 3.8 -132.55342220228
CCSD 4.5 9.5 3.8 -132.57332520441
HF 4.5 9.5 4.0 -132.23323383059
MP2 4.5 9.5 4.0 -132.55127928310
CCSD 4.5 9.5 4.0 -132.57122179728
HF 4.5 9.5 4.2 -132.23141547315
MP2 4.5 9.5 4.2 -132.54939673462
CCSD 4.5 9.5 4.2 -132.56936812187
HF 4.5 9.5 4.4 -132.22976994620
MP2 4.5 9.5 4.4 -132.54770621217
CCSD 4.5 9.5 4.4 -132.56769931686
HF 4.5 9.5 4.6 -132.22826265332
MP2 4.5 9.5 4.6 -132.54616657438
CCSD 4.5 9.5 4.6 -132.56617644819
HF 4.5 9.5 4.8 -132.22687407033
MP2 4.5 9.5 4.8 -132.54475404590
CCSD 4.5 9.5 4.8 -132.56477715569
HF 4.5 9.5 5.0 -132.22559269359
MP2 4.5 9.5 5.0 -132.54345442286
CCSD 4.5 9.5 5.0 -132.56348816379
HF 4.5 9.5 5.2 -132.22441058365
MP2 4.5 9.5 5.2 -132.54225806556
CCSD 4.5 9.5 5.2 -132.56230045955
HF 4.5 9.5 5.4 -132.22332097241
MP2 4.5 9.5 5.4 -132.54115712360
CCSD 4.5 9.5 5.4 -132.56120662894
HF 4.5 9.5 5.6 -132.22231719597
MP2 4.5 9.5 5.6 -132.54014422416
CCSD 4.5 9.5 5.6 -132.56019961275
HF 4.5 9.5 5.8 -132.22139238798
MP2 4.5 9.5 5.8 -132.53921201739
CCSD 4.5 9.5 5.8 -132.55927229423
HF 4.5 9.5 6.0 -132.22053955744
MP2 4.5 9.5 6.0 -132.53835316693
CCSD 4.5 9.5 6.0 -132.55841751624
HF 4.5 9.5 6.2 -132.21975180976
MP2 4.5 9.5 6.2 -132.53756051994
CCSD 4.5 9.5 6.2 -132.55762826811
HF 4.5 9.5 6.4 -132.21902256990
MP2 4.5 9.5 6.4 -132.53682730056
CCSD 4.5 9.5 6.4 -132.55689788937
HF 4.5 9.5 6.6 -132.21834574241
MP2 4.5 9.5 6.6 -132.53614725237
CCSD 4.5 9.5 6.6 -132.55622021867
HF 4.5 9.5 6.8 -132.21771579519
MP2 4.5 9.5 6.8 -132.53551471151
CCSD 4.5 9.5 6.8 -132.55558967113
HF 4.5 9.5 7.0 -132.21712778157
MP2 4.5 9.5 7.0 -132.53492462167
CCSD 4.5 9.5 7.0 -132.55500125626
HF 4.5 9.5 7.2 -132.21657732240
MP2 4.5 9.5 7.2 -132.53437251151
CCSD 4.5 9.5 7.2 -132.55445055756
HF 4.5 9.5 7.4 -132.21606056731
MP2 4.5 9.5 7.4 -132.53385445252
CCSD 4.5 9.5 7.4 -132.55393369215
HF 4.5 9.5 7.6 -132.21557414706
MP2 4.5 9.5 7.6 -132.53336700925
CCSD 4.5 9.5 7.6 -132.55344726241
HF 4.5 9.5 7.8 -132.21511512373
MP2 4.5 9.5 7.8 -132.53290718774
CCSD 4.5 9.5 7.8 -132.55298830567
HF 4.5 9.5 8.0 -132.21468094111
MP2 4.5 9.5 8.0 -132.53247238493
CCSD 4.5 9.5 8.0 -132.55255424458
HF 4.5 9.5 8.2 -132.21426937701
MP2 4.5 9.5 8.2 -132.53206033988
CCSD 4.5 9.5 8.2 -132.55214283928
HF 4.5 9.5 8.4 -132.21387849788
MP2 4.5 9.5 8.4 -132.53166908761
CCSD 4.5 9.5 8.4 -132.55175214196
HF 4.5 9.5 8.6 -132.21350661687
MP2 4.5 9.5 8.6 -132.53129691618
CCSD 4.5 9.5 8.6 -132.55138045466
HF 4.5 9.5 8.8 -132.21315225603
MP2 4.5 9.5 8.8 -132.53094232796
CCSD 4.5 9.5 8.8 -132.55102629110
HF 4.5 9.5 9.0 -132.21281411299
MP2 4.5 9.5 9.0 -132.53060400547
CCSD 4.5 9.5 9.0 -132.55068834300
HF 4.5 9.5 9.2 -132.21249103265
MP2 4.5 9.5 9.2 -132.53028078212
CCSD 4.5 9.5 9.2 -132.55036545124
HF 4.5 9.5 9.4 -132.21218198350
MP2 4.5 9.5 9.4 -132.52997161774
CCSD 4.5 9.5 9.4 -132.55005658183
HF 4.5 9.5 9.6 -132.21188603823
MP2 4.5 9.5 9.6 -132.52967557864
CCSD 4.5 9.5 9.6 -132.54976080609
HF 4.5 9.5 9.8 -132.21160235812
MP2 4.5 9.5 9.8 -132.52939182132
CCSD 4.5 9.5 9.8 -132.54947728473
HF 4.5 9.5 10.0 -132.21133018050
MP2 4.5 9.5 10.0 -132.52911957959
CCSD 4.5 9.5 10.0 -132.54920525504
HF 4.4 9.6 1.2 -134.16597074369
MP2 4.4 9.6 1.2 -134.48229461955
CCSD 4.4 9.6 1.2 -134.49735557852
HF 4.4 9.6 1.4 -134.19148678043
MP2 4.4 9.6 1.4 -134.51073518421
CCSD 4.4 9.6 1.4 -134.52671947795
HF 4.4 9.6 1.6 -134.18682124469
MP2 4.4 9.6 1.6 -134.50781569882
CCSD 4.4 9.6 1.6 -134.52432399561
HF 4.4 9.6 1.8 -134.17685255039
MP2 4.4 9.6 1.8 -134.49793893781
CCSD 4.4 9.6 1.8 -134.51491621276
HF 4.4 9.6 2.0 -134.16913210910
MP2 4.4 9.6 2.0 -134.48911642354
CCSD 4.4 9.6 2.0 -134.50670742328
HF 4.4 9.6 2.2 -134.16380028039
MP2 4.4 9.6 2.2 -134.48228376427
CCSD 4.4 9.6 2.2 -134.50054415881
HF 4.4 9.6 2.4 -134.16020829507
MP2 4.4 9.6 2.4 -134.47732746400
CCSD 4.4 9.6 2.4 -134.49616921312
HF 4.4 9.6 2.6 -134.15721166567
MP2 4.4 9.6 2.6 -134.47326732334
CCSD 4.4 9.6 2.6 -134.49254830987
HF 4.4 9.6 2.8 -134.15414111797
MP2 4.4 9.6 2.8 -134.46941357377
CCSD 4.4 9.6 2.8 -134.48900344670
HF 4.4 9.6 3.0 -134.15108848499
MP2 4.4 9.6 3.0 -134.46579969431
CCSD 4.4 9.6 3.0 -134.48559941636
HF 4.4 9.6 3.2 -134.14833370708
MP2 4.4 9.6 3.2 -134.46265100513
CCSD 4.4 9.6 3.2 -134.48259143595
HF 4.4 9.6 3.4 -134.14601212095
MP2 4.4 9.6 3.4 -134.46005709270
CCSD 4.4 9.6 3.4 -134.48009204749
HF 4.4 9.6 3.6 -134.14410672782
MP2 4.4 9.6 3.6 -134.45796502407
CCSD 4.4 9.6 3.6 -134.47806432206
HF 4.4 9.6 3.8 -134.14252840041
MP2 4.4 9.6 3.8 -134.45625907742
CCSD 4.4 9.6 3.8 -134.47640313881
HF 4.4 9.6 4.0 -134.14117931295
MP2 4.4 9.6 4.0 -134.45482248778
CCSD 4.4 9.6 4.0 -134.47499854881
HF 4.4 9.6 4.2 -134.13998360405
MP2 4.4 9.6 4.2 -134.45356620258
CCSD 4.4 9.6 4.2 -134.47376580282
HF 4.4 9.6 4.4 -134.13889379632
MP2 4.4 9.6 4.4 -134.45243371014
CCSD 4.4 9.6 4.4 -134.47265109345
HF 4.4 9.6 4.6 -134.13788504440
MP2 4.4 9.6 4.6 -134.45139410247
CCSD 4.4 9.6 4.6 -134.47162523440
HF 4.4 9.6 4.8 -134.13694642075
MP2 4.4 9.6 4.8 -134.45043248885
CCSD 4.4 9.6 4.8 -134.47067445994
HF 4.4 9.6 5.0 -134.13607380850
MP2 4.4 9.6 5.0 -134.44954222698
CCSD 4.4 9.6 5.0 -134.46979288294
HF 4.4 9.6 5.2 -134.13526545132
MP2 4.4 9.6 5.2 -134.44871997388
CCSD 4.4 9.6 5.2 -134.46897767798
HF 4.4 9.6 5.4 -134.13451965289
MP2 4.4 9.6 5.4 -134.44796303163
CCSD 4.4 9.6 5.4 -134.46822650831
HF 4.4 9.6 5.6 -134.13383385280
MP2 4.4 9.6 5.6 -134.44726819105
CCSD 4.4 9.6 5.6 -134.46753642318
HF 4.4 9.6 5.8 -134.13320448222
MP2 4.4 9.6 5.8 -134.44663144437
CCSD 4.4 9.6 5.8 -134.46690360643
HF 4.4 9.6 6.0 -134.13262720260
MP2 4.4 9.6 6.0 -134.44604813914
CCSD 4.4 9.6 6.0 -134.46632355360
HF 4.4 9.6 6.2 -134.13209727194
MP2 4.4 9.6 6.2 -134.44551329575
CCSD 4.4 9.6 6.2 -134.46579140377
HF 4.4 9.6 6.4 -134.13160988871
MP2 4.4 9.6 6.4 -134.44502192399
CCSD 4.4 9.6 6.4 -134.46530226436
HF 4.4 9.6 6.6 -134.13116044556
MP2 4.4 9.6 6.6 -134.44456926146
CCSD 4.4 9.6 6.6 -134.46485145424
HF 4.4 9.6 6.8 -134.13074468209
MP2 4.4 9.6 6.8 -134.44415091773
CCSD 4.4 9.6 6.8 -134.46443465074
HF 4.4 9.6 7.0 -134.13035875603
MP2 4.4 9.6 7.0 -134.44376294010
CCSD 4.4 9.6 7.0 -134.46404795752
HF 4.4 9.6 7.2 -134.12999926030
MP2 4.4 9.6 7.2 -134.44340182711
CCSD 4.4 9.6 7.2 -134.46368791968
HF 4.4 9.6 7.4 -134.12966320918
MP2 4.4 9.6 7.4 -134.44306451228
CCSD 4.4 9.6 7.4 -134.46335150895
HF 4.4 9.6 7.6 -134.12934800916
MP2 4.4 9.6 7.6 -134.44274833319
CCSD 4.4 9.6 7.6 -134.46303609409
HF 4.4 9.6 7.8 -134.12905142277
MP2 4.4 9.6 7.8 -134.44245099407
CCSD 4.4 9.6 7.8 -134.46273940465
HF 4.4 9.6 8.0 -134.12877152965
MP2 4.4 9.6 8.0 -134.44217052583
CCSD 4.4 9.6 8.0 -134.46245949207
HF 4.4 9.6 8.2 -134.12850668693
MP2 4.4 9.6 8.2 -134.44190524556
CCSD 4.4 9.6 8.2 -134.46219468995
HF 4.4 9.6 8.4 -134.12825549038
MP2 4.4 9.6 8.4 -134.44165371669
CCSD 4.4 9.6 8.4 -134.46194357507
HF 4.4 9.6 8.6 -134.12801673762
MP2 4.4 9.6 8.6 -134.44141471130
CCSD 4.4 9.6 8.6 -134.46170493021
HF 4.4 9.6 8.8 -134.12778939460
MP2 4.4 9.6 8.8 -134.44118717548
CCSD 4.4 9.6 8.8 -134.46147771012
HF 4.4 9.6 9.0 -134.12757256600
MP2 4.4 9.6 9.0 -134.44097019880
CCSD 4.4 9.6 9.0 -134.46126101136
HF 4.4 9.6 9.2 -134.12736547018
MP2 4.4 9.6 9.2 -134.44076298826
CCSD 4.4 9.6 9.2 -134.46105404662
HF 4.4 9.6 9.4 -134.12716741840
MP2 4.4 9.6 9.4 -134.44056484675
CCSD 4.4 9.6 9.4 -134.46085612340
HF 4.4 9.6 9.6 -134.12697779823
MP2 4.4 9.6 9.6 -134.44037515566
CCSD 4.4 9.6 9.6 -134.46066662694
HF 4.4 9.6 9.8 -134.12679606041
MP2 4.4 9.6 9.8 -134.44019336124
